序号,时间,API类型,查询地址,经度,纬度,状态,备注
1,2026-02-25 11:05:27,地理编码,"上海市甘泉街道",121.480539,31.235929,成功,"geocode/geo"
2,2026-02-25 11:05:28,地理编码,"上海市长征",121.379976,31.243642,成功,"geocode/geo"
3,2026-02-25 11:05:28,地理编码,"上海市宜川路沪太路",121.448922,31.273803,成功,"geocode/geo"
4,2026-02-25 11:05:29,地理编码,"上海市大场",121.423427,31.293055,成功,"geocode/geo"
5,2026-02-25 11:05:29,地理编码,"上海市青浦",121.130553,31.155454,成功,"geocode/geo"
6,2026-02-25 11:05:29,地理编码,"上海市南翔",121.327057,31.300679,成功,"geocode/geo"
7,2026-02-25 11:05:30,地理编码,"上海市桃浦",121.369523,31.284817,成功,"geocode/geo"
8,2026-02-25 11:05:30,地理编码,"上海市李子园",121.396562,31.274819,成功,"geocode/geo"
9,2026-02-25 11:05:30,地理编码,"上海市临港",121.925035,30.919459,成功,"geocode/geo"
10,2026-02-25 11:05:31,地理编码,"上海市大团",121.743859,30.972270,成功,"geocode/geo"
11,2026-02-25 11:05:31,地理编码,"上海市浦江镇",121.523046,31.081472,成功,"geocode/geo"

# 统计: API调用总数=11, 缓存命中=0
